model,unit_id,horizon,n,mean_residual,std_residual,shapiro_stat,shapiro_p,ljung_box_p
LightGBM,705089,3,2208,0.12171275978827589,0.8690731334951765,0.9766580346430663,1.5542725068715705e-18,1.916093141309316e-167
LightGBM,705089,4,2208,0.16277875333121894,0.9710004753361821,0.9802267921578439,5.963699076050651e-17,2.017960204094047e-262
LightGBM,705089,12,2208,0.4994964171942332,1.1417756276776552,0.9703417033683126,5.881920036625503e-21,0.0
LightGBM,705089,24,2208,0.5752432132174754,1.1497264266687066,0.9496851062032126,7.169337229053719e-27,0.0
LightGBM,705089,48,2208,0.5665762213947333,1.1474612547651286,0.9487716733109435,4.369000952622528e-27,0.0
LightGBM,705089,72,2208,0.5075587522546942,1.1547158279555,0.9598415918547061,2.9788879218668494e-24,0.0
LightGBM,705090,1,2208,0.14432966048113183,0.6340894859216688,0.9155758885750184,2.0175437200217473e-33,1.3187244022203737e-12
LightGBM,705090,2,2208,0.31985748485763177,1.0823386374234785,0.9913362398005227,3.2621451752016875e-10,3.265762786229647e-94
LightGBM,705090,3,2208,0.4901132670093562,1.350419877040044,0.9961341746009514,1.9185826327887185e-05,3.1411693840586384e-272
LightGBM,705090,4,2208,0.6510219552368127,1.5443490765958656,0.9968024704378795,0.00014032501873059721,0.0
LightGBM,705090,12,2208,1.5726862286787564,2.1018069826790926,0.991423960491958,3.844139408852739e-10,0.0
LightGBM,705090,24,2208,2.106411898912347,2.3614624916980533,0.9768924585476784,1.9502246078860162e-18,0.0
LightGBM,705090,48,2208,2.4814898761423025,2.706603939284399,0.9649186048407369,9.450316136165028e-23,0.0
LightGBM,705090,72,2208,2.4623377129555992,2.690659512582989,0.9651350780787707,1.1040192469268954e-22,0.0
LightGBM,705091,1,2208,0.06761333207751623,0.4106289905008626,0.8429456069398685,2.8495488434219507e-42,0.16273408475194526
LightGBM,705091,2,2208,0.12327980327516416,0.6745088932494293,0.9451089081726405,6.402037703125952e-28,4.8922675722992873e-29
